ID	IntFreq	birth	death	freq	bias	bShift	bPeriod	bAmp	#catIn	catIn
64	5546	63597	3477574	0.0061	0.4432	1270798.9669	200000.0	0.0	1	2 
65	5126	295681	9999999	0.0056	0.4303	2005211.7177	200000.0	0.0	3	11 10 41 
66	5633	0	4421843	0.0062	0.6959	5598620.5249	200000.0	0.0	2	30 16 
67	347	345909	545694	3.0E-4	0.9317	1022982.7489	200000.0	0.0	3	2 13 48 
68	464	3129147	9999999	5.0E-4	1.146	3882817.4945	200000.0	0.0	3	50 47 3 
69	2171	1735957	3053419	0.0024	0.4742	5692841.3002	200000.0	0.0	3	16 38 43 
70	5765	0	9999999	0.0064	1.112	2499357.9176	200000.0	0.0	4	12 45 3 23 
71	1282	2621645	9999999	0.0014	1.4546	5699806.0152	200000.0	0.0	2	2 15 
72	5685	0	3684483	0.0063	1.5311	499508.3555	200000.0	0.0	4	6 2 1 52 
73	4091	938328	9999999	0.0045	0.4341	3681375.0161	200000.0	0.0	4	10 43 44 21 
74	1491	2528305	9999999	0.0016	1.4033	1100474.4513	200000.0	0.0	2	13 18 
75	4541	0	2788869	0.0050	1.2105	4836289.1438	200000.0	0.0	4	48 25 14 29 
76	4450	744745	9999999	0.0049	1.1812	5424542.7196	200000.0	0.0	4	57 17 47 24 
77	613	0	379652	6.0E-4	0.9135	3505275.5049	200000.0	0.0	1	19 
78	3368	1425322	9999999	0.0037	0.9108	2682767.3842	200000.0	0.0	4	40 11 43 54 
79	2158	2163754	9999999	0.0023	0.8854	5648961.3869	200000.0	0.0	2	43 1 
80	2654	1158343	2710421	0.0029	1.4008	1095111.2673	200000.0	0.0	2	17 53 
81	346	3213034	9999999	3.0E-4	0.9719	3646888.6185	200000.0	0.0	4	32 48 49 18 
82	1414	2192227	3038138	0.0015	1.3192	5055141.6006	200000.0	0.0	4	56 32 54 37 
83	434	3152481	9999999	4.0E-4	0.415	415237.5435	200000.0	0.0	2	47 45 
84	4207	898294	9999999	0.0046	0.821	3890329.0316	200000.0	0.0	2	16 46 
85	1995	2179726	9999999	0.0022	1.5164	5839830.7636	200000.0	0.0	3	33 36 29 
86	4367	744401	9999999	0.0048	1.4137	5892783.8091	200000.0	0.0	3	32 55 16 
87	2325	2038568	9999999	0.0025	1.5432	4656617.0697	200000.0	0.0	2	56 6 
88	5731	0	9999999	0.0063	1.358	4016742.605	200000.0	0.0	1	10 
89	4446	0	2660206	0.0049	1.355	1136318.8894	200000.0	0.0	3	41 26 5 
90	35	1900833	1919252	0.0	1.2632	2852191.9792	200000.0	0.0	1	26 
91	3565	743781	2920296	0.0039	0.5965	2559574.0878	200000.0	0.0	1	35 
92	4953	0	2992214	0.0055	1.2223	2400832.5546	200000.0	0.0	3	49 14 10 
93	0	3850053	9999999	0.0	0.841	2823768.1091	200000.0	0.0	1	28 
94	2645	1839403	9999999	0.0029	0.6286	5403803.1674	200000.0	0.0	3	26 7 43 
95	1546	0	921713	0.0017	1.4136	4297531.9931	200000.0	0.0	4	20 16 36 28 
96	1134	0	700220	0.0012	1.2631	2500371.419	200000.0	0.0	2	20 16 
97	4349	793372	9999999	0.0048	1.3116	5762430.1123	200000.0	0.0	2	56 59 
98	5723	0	9999999	0.0063	1.4295	3433421.8006	200000.0	0.0	1	14 
99	813	1924699	2406559	9.0E-4	1.5822	2015831.4011	200000.0	0.0	4	28 31 29 12 
100	0	4120239	4150017	0.0	1.212	2053937.3129	200000.0	0.0	1	6 
101	5712	0	9999999	0.0063	1.4292	1058776.3203	200000.0	0.0	4	3 27 37 16 
102	1183	2653810	9999999	0.0013	0.741	1072084.9746	200000.0	0.0	2	21 20 
103	1325	0	788052	0.0014	0.8674	5262719.5342	200000.0	0.0	4	31 28 42 55 
104	0	3874877	9999999	0.0	0.4079	2251758.0142	200000.0	0.0	2	37 24 
105	2443	2003745	4123637	0.0027	1.1947	4071213.3024	200000.0	0.0	4	21 15 6 39 
106	5657	0	9999999	0.0062	0.4892	2571571.7108	200000.0	0.0	2	44 46 
107	0	4474494	9999999	0.0	0.7034	5359413.6653	200000.0	0.0	1	4 
108	5713	0	4143688	0.0063	0.538	3222550.2833	200000.0	0.0	2	29 22 
109	0	3550174	9999999	0.0	0.5268	5618859.9831	200000.0	0.0	4	33 29 26 5 
110	5645	0	9999999	0.0062	0.7285	4051735.2291	200000.0	0.0	2	34 28 
111	1157	2327605	3025581	0.0012	0.7501	5939853.2855	200000.0	0.0	3	45 55 54 
112	4558	738677	9999999	0.0050	0.7188	5808672.1112	200000.0	0.0	4	11 39 53 41 
113	0	3662124	4228114	0.0	0.851	144247.5352	200000.0	0.0	4	46 34 50 19 
114	5660	0	9999999	0.0062	1.3125	4782901.4359	200000.0	0.0	2	51 55 
115	4728	577605	9999999	0.0052	1.1905	5129760.3955	200000.0	0.0	3	27 44 8 
116	4686	0	2850805	0.0052	0.7972	5750673.8274	200000.0	0.0	2	30 11 
117	0	3717857	4321492	0.0	0.6738	3867902.1394	200000.0	0.0	1	3 
118	5659	0	9999999	0.0062	1.1667	4150609.8103	200000.0	0.0	3	15 1 16 
119	0	4091485	9999999	0.0	1.1076	5885162.3712	200000.0	0.0	3	43 35 9 
120	0	4420814	4441843	0.0	1.3887	3189145.9733	200000.0	0.0	1	54 
121	3093	665776	2496364	0.0034	0.6614	3851222.0547	200000.0	0.0	3	0 1 54 
122	3872	1050736	9999999	0.0043	1.2008	4467763.9155	200000.0	0.0	1	36 
123	3666	1221551	9999999	0.0040	1.2761	2470869.2626	200000.0	0.0	4	52 24 7 25 
124	1836	2318667	9999999	0.0020	0.4494	2367471.0625	200000.0	0.0	3	55 46 23 
125	0	4012879	9999999	0.0	0.9043	2949552.8067	200000.0	0.0	1	7 
126	0	3583184	9999999	0.0	1.0658	1455008.4526	200000.0	0.0	1	53 
127	2138	66641	1334672	0.0023	1.5815	5063296.8421	200000.0	0.0	1	42 
128	5633	0	4454605	0.0062	1.0121	4853865.9668	200000.0	0.0	1	48 
129	0	3935444	4473951	0.0	1.5393	4358195.5664	200000.0	0.0	1	7 
130	5637	0	9999999	0.0062	0.8315	1060719.5653	200000.0	0.0	1	11 
131	2916	0	1752397	0.0032	1.5017	2387219.0731	200000.0	0.0	2	17 13 
132	3044	0	1807520	0.0033	0.5005	328663.7543	200000.0	0.0	2	41 40 
133	1043	2778942	9999999	0.0011	1.5352	5135264.1834	200000.0	0.0	2	37 5 
134	0	4372886	9999999	0.0	0.6313	3340820.29	200000.0	0.0	2	36 47 
135	37	1526315	1547156	0.0	1.5863	5823104.5461	200000.0	0.0	2	4 29 
136	5786	0	9999999	0.0064	1.3613	1341823.1887	200000.0	0.0	2	19 10 
137	3408	0	2066991	0.0037	1.0749	2211912.0826	200000.0	0.0	4	48 3 59 55 
138	0	4048800	9999999	0.0	1.1896	3023415.6256	200000.0	0.0	3	6 4 21 
139	4700	687769	9999999	0.0052	1.1405	4582388.0608	200000.0	0.0	1	16 
140	2968	1630458	9999999	0.0032	0.796	2426857.8648	200000.0	0.0	3	12 29 37 
141	0	4037497	4094426	0.0	1.3263	865297.4965	200000.0	0.0	1	15 
142	5634	0	9999999	0.0062	1.3535	4426441.6635	200000.0	0.0	1	13 
143	0	4308408	9999999	0.0	1.2116	4923883.6696	200000.0	0.0	1	14 
144	5792	0	9999999	0.0064	0.7047	4561969.2837	200000.0	0.0	4	23 2 56 28 
145	1350	2589388	4353330	0.0015	1.425	847906.1572	200000.0	0.0	4	59 33 49 54 
146	0	3778884	9999999	0.0	1.1009	1956207.1774	200000.0	0.0	3	16 29 12 
147	0	4145619	4469605	0.0	0.8143	182684.2003	200000.0	0.0	4	15 52 31 50 
148	2690	1813830	9999999	0.0029	0.9264	3051290.6056	200000.0	0.0	3	39 57 40 
149	4638	594685	9999999	0.0051	1.1035	2916445.4432	200000.0	0.0	1	10 
150	711	2980525	9999999	7.0E-4	1.4865	5595885.9458	200000.0	0.0	1	20 
151	5736	0	9999999	0.0063	1.3782	1073310.065	200000.0	0.0	2	28 23 
152	1301	2623888	9999999	0.0014	0.7494	1598341.8406	200000.0	0.0	4	10 16 27 24 
153	2548	0	1517892	0.0028	0.4476	2696165.3939	200000.0	0.0	1	41 
154	1152	2721994	3503353	0.0012	1.517	677053.0467	200000.0	0.0	3	36 38 29 
155	1047	211765	868228	0.0011	0.8104	3634119.8076	200000.0	0.0	3	35 24 20 
156	3843	1113376	9999999	0.0042	1.2592	1171071.1338	200000.0	0.0	3	29 27 13 
157	0	4019492	9999999	0.0	0.5304	567079.226	200000.0	0.0	2	5 43 
158	1709	2405147	4328658	0.0018	0.8312	2696993.5643	200000.0	0.0	3	3 11 8 
159	856	2933704	9999999	9.0E-4	0.9196	188233.7894	200000.0	0.0	1	19 
160	5739	0	9999999	0.0063	0.8906	3134066.3285	200000.0	0.0	1	39 
161	0	4289654	9999999	0.0	1.0912	945674.5154	200000.0	0.0	3	23 48 32 
162	5792	0	9999999	0.0064	0.9545	3526691.6315	200000.0	0.0	2	32 20 
163	976	198630	785410	0.0010	1.08	2865901.3605	200000.0	0.0	3	53 51 14 
164	230	0	145658	2.0E-4	1.4053	3617130.0814	200000.0	0.0	4	3 53 20 15 
165	5733	0	9999999	0.0063	0.6794	4093007.5927	200000.0	0.0	3	29 28 53 
166	0	3523766	9999999	0.0	1.5882	1097188.6776	200000.0	0.0	1	51 
167	1836	0	1111986	0.0020	0.7876	4639284.8709	200000.0	0.0	1	46 
168	5735	0	9999999	0.0063	0.686	4060067.5732	200000.0	0.0	1	25 
169	4772	540798	9999999	0.0053	0.8633	2988270.3197	200000.0	0.0	4	58 47 37 11 
170	0	3590620	9999999	0.0	1.4343	5764082.8264	200000.0	0.0	4	57 2 46 33 
171	1540	2475100	9999999	0.0017	0.6721	1399170.7139	200000.0	0.0	4	19 28 42 8 
172	3836	1083048	9999999	0.0042	1.3257	4667433.9183	200000.0	0.0	3	28 43 22 
173	287	3234283	9999999	3.0E-4	1.2907	3014672.5548	200000.0	0.0	1	44 
174	5715	0	3733054	0.0063	0.9281	5956701.5738	200000.0	0.0	1	51 
175	5674	0	9999999	0.0063	1.5521	4903303.4388	200000.0	0.0	1	29 
176	5669	0	9999999	0.0062	0.5113	5534100.5483	200000.0	0.0	2	21 27 
177	5536	0	9999999	0.0061	0.4267	4393784.144	200000.0	0.0	1	43 
178	5528	0	9999999	0.0061	0.5593	3395989.142	200000.0	0.0	3	57 26 43 
179	4070	1067444	9999999	0.0045	0.5509	3320242.8851	200000.0	0.0	1	32 
180	5676	0	3442510	0.0063	0.6698	900879.6476	200000.0	0.0	4	34 0 10 23 
181	5639	0	9999999	0.0062	1.0798	2263566.8257	200000.0	0.0	3	44 41 33 
182	5663	0	9999999	0.0062	1.3007	2350155.4961	200000.0	0.0	4	54 29 57 11 
183	346	0	214284	3.0E-4	1.2185	3647253.9095	200000.0	0.0	2	17 38 
184	961	2841854	4260416	0.0010	1.2178	1533155.6371	200000.0	0.0	2	16 19 
185	1770	2328118	9999999	0.0019	0.755	2062248.3144	200000.0	0.0	2	10 11 
186	3273	1209560	3123442	0.0036	1.1689	1126383.661	200000.0	0.0	4	31 41 48 34 
187	5566	0	3315567	0.0061	0.666	2256092.5245	200000.0	0.0	1	7 
188	2257	2055751	9999999	0.0025	1.5272	2943741.2326	200000.0	0.0	3	3 54 4 
189	5640	0	9999999	0.0062	1.3993	3977869.5706	200000.0	0.0	4	1 36 39 33 
190	3913	1047886	9999999	0.0043	1.2735	2905676.8958	200000.0	0.0	1	42 
191	5410	2883	3285458	0.0060	1.5996	1284641.3515	200000.0	0.0	1	39 
192	5761	0	9999999	0.0064	0.4152	262877.8959	200000.0	0.0	4	50 1 34 57 
193	0	4142861	9999999	0.0	0.9276	2048876.9044	200000.0	0.0	3	27 49 12 
194	5670	0	9999999	0.0063	0.675	4620267.3352	200000.0	0.0	4	37 9 57 30 
195	3444	1402167	9999999	0.0038	0.6673	1955595.1936	200000.0	0.0	1	48 
196	4064	984842	4077927	0.0045	0.5482	1702656.3521	200000.0	0.0	4	28 4 30 43 
197	1131	2720823	9999999	0.0012	0.4868	4522875.1183	200000.0	0.0	1	29 
198	5484	0	4011096	0.0060	0.9568	2935827.578	200000.0	0.0	4	52 29 42 9 
199	1798	2369766	9999999	0.0019	0.4254	968858.5596	200000.0	0.0	2	58 6 
200	5595	0	9999999	0.0062	0.5353	1920563.6587	200000.0	0.0	1	50 
201	5856	0	9999999	0.0065	0.7898	132717.9702	200000.0	0.0	3	54 25 47 
202	1549	1313576	2248869	0.0017	1.5064	997615.5195	200000.0	0.0	1	24 
203	5774	0	9999999	0.0064	1.2341	4469477.601	200000.0	0.0	3	47 26 55 
204	5699	0	9999999	0.0063	0.8716	3628907.4843	200000.0	0.0	1	53 
205	0	4252008	9999999	0.0	0.5915	2991642.4879	200000.0	0.0	1	2 
206	4823	474739	9999999	0.0053	1.0901	3006542.371	200000.0	0.0	2	51 53 
207	4210	888736	9999999	0.0046	0.4763	5078026.3018	200000.0	0.0	1	30 
208	2830	1712902	9999999	0.0031	1.2135	2300254.6961	200000.0	0.0	4	8 43 39 27 
209	5579	0	9999999	0.0061	0.7748	5224341.1124	200000.0	0.0	1	32 
210	5559	0	9999999	0.0061	1.2374	1605349.1466	200000.0	0.0	3	46 38 25 
211	761	0	461870	8.0E-4	1.1985	1378041.7096	200000.0	0.0	3	46 7 21 
212	709	2974097	4197099	7.0E-4	1.3416	962241.5234	200000.0	0.0	4	11 46 5 25 
213	2899	0	1727187	0.0032	1.0158	1249165.1335	200000.0	0.0	3	24 47 44 
214	1290	2659744	3683071	0.0014	1.0091	1202875.9128	200000.0	0.0	1	13 
215	2278	2053743	3561422	0.0025	1.0549	1206541.0561	200000.0	0.0	1	50 
216	1371	2527520	3358743	0.0015	1.4274	1441532.4671	200000.0	0.0	3	43 44 25 
217	3021	1659180	4269956	0.0033	0.4399	1485409.0733	200000.0	0.0	4	42 0 11 37 
218	0	4066507	4275958	0.0	0.5986	2404823.4436	200000.0	0.0	2	44 58 
219	5619	0	9999999	0.0062	1.5887	3671481.6407	200000.0	0.0	4	43 11 33 12 
220	2166	1952130	3288077	0.0024	1.5839	4880246.999	200000.0	0.0	1	24 
221	2001	2195770	9999999	0.0022	1.033	5158081.1648	200000.0	0.0	1	35 
222	0	4099049	9999999	0.0	1.1531	4204070.9139	200000.0	0.0	1	48 
223	2165	0	1282903	0.0024	0.5781	4318986.9769	200000.0	0.0	3	34 31 52 
224	5756	0	9999999	0.0063	0.6275	4836719.6684	200000.0	0.0	1	35 
225	0	4102178	4216878	0.0	1.0914	4017798.3651	200000.0	0.0	2	49 10 
226	5675	0	3733893	0.0063	1.2949	593956.318	200000.0	0.0	4	50 15 11 38 
227	0	4133180	9999999	0.0	1.2096	3995216.842	200000.0	0.0	4	46 4 32 44 
228	0	4302920	9999999	0.0	1.1432	588834.8701	200000.0	0.0	4	26 24 47 0 
229	0	3491671	9999999	0.0	0.6644	1118500.4393	200000.0	0.0	4	33 19 34 12 
230	4582	641088	9999999	0.0050	1.0082	3305616.5552	200000.0	0.0	4	56 34 59 47 
231	0	4286433	4372020	0.0	1.1835	1674763.9171	200000.0	0.0	4	0 46 53 58 
232	2467	1881735	9999999	0.0027	1.1036	3114658.7984	200000.0	0.0	3	12 31 55 
233	5585	0	9999999	0.0062	0.8329	3175607.4483	200000.0	0.0	2	53 14 
234	5824	0	9999999	0.0064	0.8953	4367803.0385	200000.0	0.0	2	57 39 
235	186	1669465	1787173	2.0E-4	1.0042	550900.204	200000.0	0.0	2	38 3 
236	5573	0	9999999	0.0061	1.5898	752555.1088	200000.0	0.0	2	21 3 
237	2211	0	1345556	0.0024	0.8499	217101.0649	200000.0	0.0	1	5 
238	427	3158799	9999999	4.0E-4	0.987	448007.8536	200000.0	0.0	2	14 10 
239	3439	1373318	9999999	0.0038	1.0649	363616.0164	200000.0	0.0	3	49 0 25 
240	816	2899170	4442497	9.0E-4	0.93	515561.5101	200000.0	0.0	1	57 
241	0	3500593	4110813	0.0	1.1234	3426700.2274	200000.0	0.0	2	17 13 
242	1576	857338	1794330	0.0017	1.4429	2679366.8862	200000.0	0.0	2	55 37 
243	0	3985885	9999999	0.0	0.8716	5540333.8128	200000.0	0.0	2	31 5 
244	1921	1585989	2772631	0.0021	1.0859	5281990.7834	200000.0	0.0	2	12 31 
245	5675	0	9999999	0.0063	1.4348	1762611.2086	200000.0	0.0	2	50 44 
246	959	1970631	2528538	0.0010	0.8301	1145115.1958	200000.0	0.0	2	46 35 
247	5650	0	9999999	0.0062	0.9224	4394816.1885	200000.0	0.0	4	27 25 58 39 
248	1989	2237481	9999999	0.0022	0.9555	2402481.9239	200000.0	0.0	2	4 53 
249	0	4396936	9999999	0.0	1.2054	1435114.4862	200000.0	0.0	3	31 46 24 
250	3351	1221335	3285740	0.0037	1.1492	5882029.9705	200000.0	0.0	3	10 21 26 
251	0	3578816	4260441	0.0	0.8892	3127825.7855	200000.0	0.0	2	0 23 
252	2848	0	1712487	0.0031	0.5788	11392.8216	200000.0	0.0	2	17 8 
253	5634	0	3875667	0.0062	1.2363	783274.0665	200000.0	0.0	3	41 50 52 
254	773	921549	1365406	8.0E-4	1.5653	5923921.2968	200000.0	0.0	2	8 28 
255	3814	1182093	9999999	0.0042	0.5905	4765334.526	200000.0	0.0	4	8 14 29 3 
256	265	3253430	9999999	2.0E-4	0.877	1845.6202	200000.0	0.0	1	52 
257	5854	0	9999999	0.0065	1.2613	60290.9599	200000.0	0.0	3	49 7 52 
258	5716	0	9999999	0.0063	1.213	490639.4015	200000.0	0.0	4	59 57 58 5 
259	0	3693052	9999999	0.0	1.002	2991003.0498	200000.0	0.0	1	37 
260	5659	0	9999999	0.0062	0.8988	912883.3188	200000.0	0.0	2	0 38 
261	5742	0	9999999	0.0063	0.7688	3224533.5648	200000.0	0.0	1	55 
262	5710	0	9999999	0.0063	1.0387	2382720.6821	200000.0	0.0	2	47 43 
263	0	3926586	9999999	0.0	1.5246	4325412.851	200000.0	0.0	3	26 38 50 
264	5528	0	3284596	0.0061	1.1052	4057702.0836	200000.0	0.0	4	45 15 24 43 
265	5659	0	9999999	0.0062	0.9744	2118629.5893	200000.0	0.0	1	51 
266	2188	0	1296354	0.0024	0.891	3308300.7635	200000.0	0.0	3	23 16 57 
267	350	3200852	9999999	3.0E-4	1.2252	3225136.817	200000.0	0.0	4	52 30 51 12 
268	4702	597839	9999999	0.0052	0.6304	1283457.5683	200000.0	0.0	2	0 36 
269	4659	0	2829395	0.0051	0.988	5362897.5721	200000.0	0.0	1	57 
270	2489	0	1480283	0.0027	0.9613	2742674.084	200000.0	0.0	4	48 45 11 19 
271	5669	0	9999999	0.0062	1.0774	3429722.6848	200000.0	0.0	1	32 
272	5858	0	9999999	0.0065	1.0655	5901295.1732	200000.0	0.0	2	11 29 
273	4906	433322	9999999	0.0054	0.4213	2476219.0852	200000.0	0.0	2	48 19 
274	3826	1087067	9999999	0.0042	0.6757	30315.7735	200000.0	0.0	1	29 
275	5790	0	9999999	0.0064	1.4883	3589836.3555	200000.0	0.0	1	27 
276	2589	1458496	2986515	0.0028	1.2976	4297033.0442	200000.0	0.0	2	29 9 
277	4692	0	2787644	0.0052	1.511	4418560.5136	200000.0	0.0	3	45 13 32 
278	5773	0	9999999	0.0064	0.8795	435864.3088	200000.0	0.0	2	8 16 
279	5620	0	9999999	0.0062	1.2409	5991444.4998	200000.0	0.0	2	57 19 
280	2479	1915079	4296910	0.0027	1.2521	4447928.4051	200000.0	0.0	1	32 
281	580	472743	843527	6.0E-4	0.6839	1987497.8362	200000.0	0.0	1	36 
282	5584	0	9999999	0.0062	0.6292	74548.7131	200000.0	0.0	2	15 19 
283	160	3216636	3313680	1.0E-4	0.5475	1981671.3931	200000.0	0.0	2	4 38 
284	780	2930647	3732359	8.0E-4	1.4659	2323705.2901	200000.0	0.0	4	33 52 43 32 
285	3515	1314291	4440808	0.0039	0.9364	1611742.0991	200000.0	0.0	4	36 53 2 8 
286	902	2894976	9999999	0.0010	0.945	1538666.8058	200000.0	0.0	2	13 49 
287	5412	303492	9999999	0.0060	1.416	252390.8188	200000.0	0.0	3	11 14 52 
288	2141	2109254	4118206	0.0023	1.5602	1821943.4732	200000.0	0.0	1	6 
289	946	2794427	9999999	0.0010	1.0031	5206841.4961	200000.0	0.0	3	24 45 20 
290	5333	319568	9999999	0.0059	1.3244	772718.1818	200000.0	0.0	4	27 32 50 8 
291	1688	0	948036	0.0018	1.0895	5776237.8241	200000.0	0.0	4	48 57 46 6 
292	2349	1980475	9999999	0.0026	1.4982	5757974.1585	200000.0	0.0	3	44 20 11 
293	5573	0	9999999	0.0061	0.9452	190844.4946	200000.0	0.0	1	37 
294	1526	2509534	4191156	0.0016	1.5049	3901529.7678	200000.0	0.0	1	1 
295	5771	0	9999999	0.0064	1.4307	3531994.4776	200000.0	0.0	2	42 20 
296	5715	0	9999999	0.0063	0.6217	483754.1464	200000.0	0.0	1	7 
297	5748	0	9999999	0.0063	0.409	3150556.9976	200000.0	0.0	4	6 36 20 23 
298	905	2891065	3611921	0.0010	0.4244	740076.7028	200000.0	0.0	3	44 0 8 
299	2561	551027	2115799	0.0028	0.961	5495286.0461	200000.0	0.0	4	28 46 37 54 
