CatID	bias	bAmp	bPeriod	bShift	#sitesIn	sitesIn
50 	1.0031	0.5951	221789.3545	907246.9692	14	3 14 61 68 113 147 192 200 215 226 245 253 263 290 
51 	0.7973	0.4211	426047.3333	9158869.241	10	5 35 61 114 163 166 174 206 265 267 
52 	1.682	0.7559	498860.657	950283.2802	13	0 19 72 123 147 198 223 253 256 257 267 284 287 
53 	1.1414	0.4297	228961.3655	54867.0963	14	39 62 80 112 126 163 164 165 204 206 231 233 248 285 
54 	1.6407	0.724	233490.8789	9815745.9366	11	52 78 82 111 120 121 145 182 188 201 299 
55 	1.0128	0.322	296269.3786	8548419.065	13	23 26 32 86 103 111 114 124 137 203 232 242 261 
56 	1.5843	0.3369	346335.4313	411462.9444	7	51 57 82 87 97 144 230 
57 	0.7645	0.5001	363819.5875	7559046.717	15	8 76 148 170 178 182 192 194 234 240 258 266 269 279 291 
58 	1.1686	0.3735	309880.0455	1343906.1282	7	11 169 199 218 231 247 258 
59 	1.4195	0.4846	420541.4654	9483678.8803	8	4 21 27 97 137 145 230 258 
