ID	numLeft	bias	bShift	bPeriod	bAmp	birth	death	#catIn	catIn
79	15	1.5656	4393187.5125	200000.0	0.0	2163754	9999999	2	43 1 
80	15	1.3178	458575.0472	200000.0	0.0	1158343	2710421	2	17 53 
81	10	1.3019	3552893.0746	200000.0	0.0	3213034	9999999	4	32 48 49 18 
82	13	0.8893	2373853.5428	200000.0	0.0	2192227	3038138	4	56 32 54 37 
83	10	0.8503	1189754.0168	200000.0	0.0	3152481	9999999	2	47 45 
84	7	1.1783	1926052.1658	200000.0	0.0	898294	9999999	2	16 46 
85	9	1.5357	3628923.3734	200000.0	0.0	2179726	9999999	3	33 36 29 
86	15	1.1922	4517906.7927	200000.0	0.0	744401	9999999	3	32 55 16 
87	5	1.4475	5980949.1257	200000.0	0.0	2038568	9999999	2	56 6 
88	8	0.7655	2756338.9089	200000.0	0.0	0	9999999	1	10 
89	14	0.5849	3644355.7258	200000.0	0.0	0	2660206	3	41 26 5 
90	10	1.3833	726014.234	200000.0	0.0	1900833	1919252	1	26 
91	7	1.281	3077093.0335	200000.0	0.0	743781	2920296	1	35 
92	7	1.1324	5273788.7522	200000.0	0.0	0	2992214	3	49 14 10 
93	13	1.5139	2795794.1091	200000.0	0.0	3850053	9999999	1	28 
94	9	0.827	2823856.2597	200000.0	0.0	1839403	9999999	3	26 7 43 
95	9	1.4462	42350.4002	200000.0	0.0	0	921713	4	20 16 36 28 
96	12	1.1893	357612.6132	200000.0	0.0	0	700220	2	20 16 
97	6	0.5659	2756679.0629	200000.0	0.0	793372	9999999	2	56 59 
98	5	0.9317	1219624.6298	200000.0	0.0	0	9999999	1	14 
99	7	1.1891	5691716.274	200000.0	0.0	1924699	2406559	4	28 31 29 12 
100	9	1.3389	2528149.8749	200000.0	0.0	4120239	4150017	1	6 
101	13	1.5824	3879662.2935	200000.0	0.0	0	9999999	4	3 27 37 16 
102	8	1.5041	1064866.6282	200000.0	0.0	2653810	9999999	2	21 20 
103	11	0.5665	3463364.8681	200000.0	0.0	0	788052	4	31 28 42 55 
104	11	1.4971	5189877.5664	200000.0	0.0	3874877	9999999	2	37 24 
105	5	1.4463	5264431.1017	200000.0	0.0	2003745	4123637	4	21 15 6 39 
106	7	0.896	3504135.6379	200000.0	0.0	0	9999999	2	44 46 
107	10	1.0369	4237327.8635	200000.0	0.0	4474494	9999999	1	4 
108	9	1.1955	3405638.5432	200000.0	0.0	0	4143688	2	29 22 
109	9	1.2766	214776.6259	200000.0	0.0	3550174	9999999	4	33 29 26 5 
110	10	0.4169	3273037.6092	200000.0	0.0	0	9999999	2	34 28 
111	15	0.5816	70688.5992	200000.0	0.0	2327605	3025581	3	45 55 54 
112	9	0.7961	3383433.7647	200000.0	0.0	738677	9999999	4	11 39 53 41 
113	11	1.0618	1668396.6326	200000.0	0.0	3662124	4228114	4	46 34 50 19 
114	8	1.4431	4943459.0979	200000.0	0.0	0	9999999	2	51 55 
115	9	1.4804	5309154.5269	200000.0	0.0	577605	9999999	3	27 44 8 
116	10	0.8749	3492710.0279	200000.0	0.0	0	2850805	2	30 11 
117	9	1.2125	3164029.0935	200000.0	0.0	3717857	4321492	1	3 
118	5	1.0844	491061.8852	200000.0	0.0	0	9999999	3	15 1 16 
119	14	0.8396	3333083.5039	200000.0	0.0	4091485	9999999	3	43 35 9 
120	9	1.2441	4997202.5785	200000.0	0.0	4420814	4441843	1	54 
121	6	0.9791	2313993.1312	200000.0	0.0	665776	2496364	3	0 1 54 
122	7	1.4214	2850392.5577	200000.0	0.0	1050736	9999999	1	36 
123	14	0.9785	5881425.9603	200000.0	0.0	1221551	9999999	4	52 24 7 25 
124	15	1.1378	3726318.0151	200000.0	0.0	2318667	9999999	3	55 46 23 
125	9	1.0857	5241173.9172	200000.0	0.0	4012879	9999999	1	7 
126	12	1.0481	3300020.3409	200000.0	0.0	3583184	9999999	1	53 
127	5	1.5265	3872797.0646	200000.0	0.0	66641	1334672	1	42 
128	8	0.7818	5445253.4931	200000.0	0.0	0	4454605	1	48 
129	9	1.5719	3864665.8608	200000.0	0.0	3935444	4473951	1	7 
130	5	0.8387	4596360.1814	200000.0	0.0	0	9999999	1	11 
131	10	1.3418	3425194.5079	200000.0	0.0	0	1752397	2	17 13 
132	10	0.7775	3208916.9597	200000.0	0.0	0	1807520	2	41 40 
133	14	0.7213	2475983.2888	200000.0	0.0	2778942	9999999	2	37 5 
134	5	1.4179	4129253.9489	200000.0	0.0	4372886	9999999	2	36 47 
135	13	1.1536	2192762.2465	200000.0	0.0	1526315	1547156	2	4 29 
136	14	0.4996	4732528.7687	200000.0	0.0	0	9999999	2	19 10 
137	10	0.9755	3567224.4287	200000.0	0.0	0	2066991	4	48 3 59 55 
138	9	1.1262	4482246.0257	200000.0	0.0	4048800	9999999	3	6 4 21 
139	12	1.4463	4951839.1185	200000.0	0.0	687769	9999999	1	16 
140	13	0.7495	1739515.7862	200000.0	0.0	1630458	9999999	3	12 29 37 
141	13	0.6821	1458730.1198	200000.0	0.0	4037497	4094426	1	15 
142	7	0.8196	1870054.3466	200000.0	0.0	0	9999999	1	13 
143	10	1.1466	66909.0672	200000.0	0.0	4308408	9999999	1	14 
144	14	0.7701	2922871.5601	200000.0	0.0	0	9999999	4	23 2 56 28 
145	8	0.7612	4165814.939	200000.0	0.0	2589388	4353330	4	59 33 49 54 
146	10	0.6509	1787091.0163	200000.0	0.0	3778884	9999999	3	16 29 12 
147	8	1.2708	4239548.2166	200000.0	0.0	4145619	4469605	4	15 52 31 50 
148	8	1.5374	5628919.7555	200000.0	0.0	1813830	9999999	3	39 57 40 
149	9	0.6989	304624.7022	200000.0	0.0	594685	9999999	1	10 
150	13	1.0939	3301037.9218	200000.0	0.0	2980525	9999999	1	20 
151	14	1.3015	2047791.8058	200000.0	0.0	0	9999999	2	28 23 
152	14	0.5952	4165731.1243	200000.0	0.0	2623888	9999999	4	10 16 27 24 
153	13	1.2435	4299575.5017	200000.0	0.0	0	1517892	1	41 
154	14	0.5671	2436549.5792	200000.0	0.0	2721994	3503353	3	36 38 29 
155	15	0.5037	936701.6018	200000.0	0.0	211765	868228	3	35 24 20 
156	9	0.8249	2768161.6765	200000.0	0.0	1113376	9999999	3	29 27 13 
157	12	0.9821	158841.1135	200000.0	0.0	4019492	9999999	2	5 43 
158	14	1.1698	5520695.8497	200000.0	0.0	2405147	4328658	3	3 11 8 
159	5	1.3219	4099651.7398	200000.0	0.0	2933704	9999999	1	19 
160	5	0.4675	637947.2821	200000.0	0.0	0	9999999	1	39 
161	13	1.2936	489545.3825	200000.0	0.0	4289654	9999999	3	23 48 32 
162	7	1.3428	2508344.6238	200000.0	0.0	0	9999999	2	32 20 
163	10	1.0404	4672763.4637	200000.0	0.0	198630	785410	3	53 51 14 
164	6	0.6311	5273002.9819	200000.0	0.0	0	145658	4	3 53 20 15 
165	5	0.4197	2901721.8226	200000.0	0.0	0	9999999	3	29 28 53 
166	12	0.9607	2392186.0033	200000.0	0.0	3523766	9999999	1	51 
167	12	0.9565	815434.8011	200000.0	0.0	0	1111986	1	46 
168	14	1.4025	4890852.5863	200000.0	0.0	0	9999999	1	25 
169	11	0.8018	4029678.011	200000.0	0.0	540798	9999999	4	58 47 37 11 
170	15	1.2552	2789397.2398	200000.0	0.0	3590620	9999999	4	57 2 46 33 
171	11	0.6037	89045.5951	200000.0	0.0	2475100	9999999	4	19 28 42 8 
172	7	0.5324	4865619.5315	200000.0	0.0	1083048	9999999	3	28 43 22 
173	5	1.3598	4427041.0198	200000.0	0.0	3234283	9999999	1	44 
174	8	0.7114	3811055.8686	200000.0	0.0	0	3733054	1	51 
175	11	1.3557	532214.2281	200000.0	0.0	0	9999999	1	29 
176	13	0.9032	786384.7216	200000.0	0.0	0	9999999	2	21 27 
177	9	0.8581	371563.4469	200000.0	0.0	0	9999999	1	43 
178	14	1.2863	4908852.9837	200000.0	0.0	0	9999999	3	57 26 43 
179	5	0.8077	5840159.9474	200000.0	0.0	1067444	9999999	1	32 
180	6	1.4682	3595961.9894	200000.0	0.0	0	3442510	4	34 0 10 23 
181	8	0.9806	4827136.0827	200000.0	0.0	0	9999999	3	44 41 33 
182	13	0.6162	4706695.6457	200000.0	0.0	0	9999999	4	54 29 57 11 
183	7	1.4543	5415541.354	200000.0	0.0	0	214284	2	17 38 
184	5	0.9123	233838.9405	200000.0	0.0	2841854	4260416	2	16 19 
185	11	1.1193	3358086.4617	200000.0	0.0	2328118	9999999	2	10 11 
186	13	1.4757	1268555.6476	200000.0	0.0	1209560	3123442	4	31 41 48 34 
187	10	0.7869	3492446.8835	200000.0	0.0	0	3315567	1	7 
188	8	1.1388	4497356.6939	200000.0	0.0	2055751	9999999	3	3 54 4 
189	15	1.102	2110557.1422	200000.0	0.0	0	9999999	4	1 36 39 33 
190	7	0.6944	4682997.1744	200000.0	0.0	1047886	9999999	1	42 
191	9	0.8336	4929499.0168	200000.0	0.0	2883	3285458	1	39 
192	8	1.0511	3896058.1212	200000.0	0.0	0	9999999	4	50 1 34 57 
193	14	0.4307	3132183.2681	200000.0	0.0	4142861	9999999	3	27 49 12 
194	14	0.9573	5097768.6369	200000.0	0.0	0	9999999	4	37 9 57 30 
195	5	0.5942	1497983.1236	200000.0	0.0	1402167	9999999	1	48 
196	10	0.636	4420423.3722	200000.0	0.0	984842	4077927	4	28 4 30 43 
197	8	0.8127	342115.845	200000.0	0.0	2720823	9999999	1	29 
198	6	0.5093	2390900.2917	200000.0	0.0	0	4011096	4	52 29 42 9 
199	10	0.5332	4310340.2696	200000.0	0.0	2369766	9999999	2	58 6 
200	8	0.5779	5765414.7386	200000.0	0.0	0	9999999	1	50 
201	14	0.4571	2160520.2243	200000.0	0.0	0	9999999	3	54 25 47 
202	15	1.0514	951606.5863	200000.0	0.0	1313576	2248869	1	24 
203	12	1.053	1548093.7199	200000.0	0.0	0	9999999	3	47 26 55 
204	5	0.6744	736005.2965	200000.0	0.0	0	9999999	1	53 
205	15	1.0314	2058193.2824	200000.0	0.0	4252008	9999999	1	2 
206	7	0.8298	2256229.2197	200000.0	0.0	474739	9999999	2	51 53 
207	10	1.2066	2522221.5918	200000.0	0.0	888736	9999999	1	30 
208	5	1.3699	3151438.0967	200000.0	0.0	1712902	9999999	4	8 43 39 27 
209	14	0.8953	4958638.3474	200000.0	0.0	0	9999999	1	32 
210	14	0.9743	4535542.9669	200000.0	0.0	0	9999999	3	46 38 25 
211	6	1.1939	5583471.8708	200000.0	0.0	0	461870	3	46 7 21 
212	15	1.3444	5357850.4836	200000.0	0.0	2974097	4197099	4	11 46 5 25 
213	12	0.4318	3111839.7424	200000.0	0.0	0	1727187	3	24 47 44 
214	13	1.1179	3477129.2391	200000.0	0.0	2659744	3683071	1	13 
215	14	0.4234	1515162.3487	200000.0	0.0	2053743	3561422	1	50 
216	7	0.4888	3194536.7603	200000.0	0.0	2527520	3358743	3	43 44 25 
217	12	1.0284	2041485.4219	200000.0	0.0	1659180	4269956	4	42 0 11 37 
218	11	1.519	5476270.1727	200000.0	0.0	4066507	4275958	2	44 58 
219	15	1.563	3029386.9572	200000.0	0.0	0	9999999	4	43 11 33 12 
220	5	1.1464	1023209.4314	200000.0	0.0	1952130	3288077	1	24 
221	8	1.2138	5512783.2944	200000.0	0.0	2195770	9999999	1	35 
222	10	0.5759	979406.7822	200000.0	0.0	4099049	9999999	1	48 
223	15	1.0452	1501097.3999	200000.0	0.0	0	1282903	3	34 31 52 
224	9	0.6175	2728997.149	200000.0	0.0	0	9999999	1	35 
225	12	0.8609	5920424.9075	200000.0	0.0	4102178	4216878	2	49 10 
226	5	0.4694	163450.0243	200000.0	0.0	0	3733893	4	50 15 11 38 
227	7	1.0285	1844307.007	200000.0	0.0	4133180	9999999	4	46 4 32 44 
228	9	0.4212	82852.2728	200000.0	0.0	4302920	9999999	4	26 24 47 0 
229	15	0.8234	5669733.2482	200000.0	0.0	3491671	9999999	4	33 19 34 12 
230	11	0.6723	5488107.7821	200000.0	0.0	641088	9999999	4	56 34 59 47 
231	11	1.4536	2009828.9779	200000.0	0.0	4286433	4372020	4	0 46 53 58 
232	13	1.3048	5971818.7372	200000.0	0.0	1881735	9999999	3	12 31 55 
233	6	1.1427	3481334.0955	200000.0	0.0	0	9999999	2	53 14 
234	15	1.368	2478795.189	200000.0	0.0	0	9999999	2	57 39 
235	8	0.4787	4574791.7434	200000.0	0.0	1669465	1787173	2	38 3 
236	10	1.5798	2195363.5393	200000.0	0.0	0	9999999	2	21 3 
237	10	1.3544	3560304.7248	200000.0	0.0	0	1345556	1	5 
238	11	0.5058	691213.4045	200000.0	0.0	3158799	9999999	2	14 10 
239	5	1.5806	5102560.7553	200000.0	0.0	1373318	9999999	3	49 0 25 
240	11	0.653	70936.4632	200000.0	0.0	2899170	4442497	1	57 
241	15	0.4816	2014310.4887	200000.0	0.0	3500593	4110813	2	17 13 
242	11	0.6457	4739511.7511	200000.0	0.0	857338	1794330	2	55 37 
243	8	1.4653	1482776.9878	200000.0	0.0	3985885	9999999	2	31 5 
244	6	0.9746	1811264.9766	200000.0	0.0	1585989	2772631	2	12 31 
245	12	0.4309	5578066.2324	200000.0	0.0	0	9999999	2	50 44 
246	12	1.248	1378591.8652	200000.0	0.0	1970631	2528538	2	46 35 
247	9	0.8812	3676088.1988	200000.0	0.0	0	9999999	4	27 25 58 39 
248	13	1.4673	220191.2778	200000.0	0.0	2237481	9999999	2	4 53 
249	12	1.1685	56185.7815	200000.0	0.0	4396936	9999999	3	31 46 24 
250	7	0.6754	80784.4558	200000.0	0.0	1221335	3285740	3	10 21 26 
251	11	1.2605	5814662.9911	200000.0	0.0	3578816	4260441	2	0 23 
252	8	0.708	950334.3176	200000.0	0.0	0	1712487	2	17 8 
253	5	1.2536	2034333.888	200000.0	0.0	0	3875667	3	41 50 52 
254	13	0.7824	3961191.6095	200000.0	0.0	921549	1365406	2	8 28 
255	13	1.5371	4942492.6919	200000.0	0.0	1182093	9999999	4	8 14 29 3 
256	10	0.7508	4475.9893	200000.0	0.0	3253430	9999999	1	52 
257	5	1.5962	5990691.1297	200000.0	0.0	0	9999999	3	49 7 52 
258	15	1.2894	1904553.9706	200000.0	0.0	0	9999999	4	59 57 58 5 
259	14	0.7183	3653526.4115	200000.0	0.0	3693052	9999999	1	37 
260	13	1.338	3101632.2257	200000.0	0.0	0	9999999	2	0 38 
261	15	1.4196	804228.4268	200000.0	0.0	0	9999999	1	55 
262	13	1.3178	3008358.1307	200000.0	0.0	0	9999999	2	47 43 
263	6	0.9993	1891213.6791	200000.0	0.0	3926586	9999999	3	26 38 50 
264	10	0.7411	4366861.685	200000.0	0.0	0	3284596	4	45 15 24 43 
265	6	0.8124	5997740.0319	200000.0	0.0	0	9999999	1	51 
266	7	1.5302	256017.3805	200000.0	0.0	0	1296354	3	23 16 57 
267	15	1.3541	5782363.4637	200000.0	0.0	3200852	9999999	4	52 30 51 12 
268	14	0.9454	5561365.0119	200000.0	0.0	597839	9999999	2	0 36 
269	6	1.4158	457018.165	200000.0	0.0	0	2829395	1	57 
270	9	1.193	4075085.304	200000.0	0.0	0	1480283	4	48 45 11 19 
271	13	0.5117	2679642.5342	200000.0	0.0	0	9999999	1	32 
272	5	0.9212	697815.1174	200000.0	0.0	0	9999999	2	11 29 
273	11	0.7986	682870.0353	200000.0	0.0	433322	9999999	2	48 19 
274	10	1.1885	5560060.784	200000.0	0.0	1087067	9999999	1	29 
275	7	1.557	514783.5103	200000.0	0.0	0	9999999	1	27 
276	9	1.1421	2330308.1845	200000.0	0.0	1458496	2986515	2	29 9 
277	11	1.4073	1209683.4438	200000.0	0.0	0	2787644	3	45 13 32 
278	5	1.028	150783.5906	200000.0	0.0	0	9999999	2	8 16 
279	9	1.1466	2003689.2137	200000.0	0.0	0	9999999	2	57 19 
280	11	1.2827	1654879.0999	200000.0	0.0	1915079	4296910	1	32 
281	15	0.8102	3531265.6566	200000.0	0.0	472743	843527	1	36 
282	6	1.0216	4701192.1154	200000.0	0.0	0	9999999	2	15 19 
283	6	1.2705	4231747.3861	200000.0	0.0	3216636	3313680	2	4 38 
284	7	1.559	3676954.9739	200000.0	0.0	2930647	3732359	4	33 52 43 32 
285	12	0.6128	4084087.5882	200000.0	0.0	1314291	4440808	4	36 53 2 8 
286	8	0.5407	2687628.5465	200000.0	0.0	2894976	9999999	2	13 49 
287	9	0.512	4983805.6383	200000.0	0.0	303492	9999999	3	11 14 52 
288	5	1.0634	4741429.274	200000.0	0.0	2109254	4118206	1	6 
289	7	0.4279	3110199.0489	200000.0	0.0	2794427	9999999	3	24 45 20 
290	10	1.0836	525470.0335	200000.0	0.0	319568	9999999	4	27 32 50 8 
291	14	1.2932	2031801.8965	200000.0	0.0	0	948036	4	48 57 46 6 
292	11	1.5563	1777684.648	200000.0	0.0	1980475	9999999	3	44 20 11 
293	5	1.4793	5959615.6232	200000.0	0.0	0	9999999	1	37 
294	11	0.9072	2483113.4319	200000.0	0.0	2509534	4191156	1	1 
295	5	0.9236	702153.8415	200000.0	0.0	0	9999999	2	42 20 
296	6	1.0179	4284576.0948	200000.0	0.0	0	9999999	1	7 
297	13	1.0056	2615184.2322	200000.0	0.0	0	9999999	4	6 36 20 23 
298	10	1.2209	5566942.7555	200000.0	0.0	2891065	3611921	3	44 0 8 
299	12	0.8037	1374941.1106	200000.0	0.0	551027	2115799	4	28 46 37 54 
